key	ru	en
quest_header_0	Шерлок для Тертилуса	Sherlock for Tertilus
quest_desc_0	Найди потерянную вещь в доме тертилуса.	Find the lost item in Tertilus's house.
quest_header_1	Сюрприз!	Surprise!
quest_desc_1	Следуй за Тертилусом, он хочет что-то показать.	Follow Tertilus, he wants to show you something.
quest_header_2	Ледяные кристаллы	Ice crystals
quest_desc_2	Уничтожь три ледяных кристалла.	Destroy three ice crystals.
quest_header_3	Странный корпоратив	Strange corporate party
quest_desc_3	Найди портфель Октобосса на природе.	Find Octoboss's briefcase in nature.
quest_header_4	Внезапное приключение	A Sudden Adventure
quest_desc_4	Догони Скайпера и безопансо уничтожь кристалл.	Catch up with Skyper and safely destroy the crystal.
quest_header_5	Беспокойные дети	Restless children
quest_desc_5	Спаси детей Джелики из ледяного заточения.	Rescue Jelica's children from their icy confinement.
quest_header_6	Рисковый поступок	Risky act
quest_desc_6	Растопи лёд на поверхности.	Melt the ice on the surface.
quest_header_7	Неожиданные трудности	Unexpected difficulties
quest_desc_7	Уничтожь три ледяных кристалла на верхнем уровне.	Destroy three ice crystals on the upper level.
quest_header_8	Финальный акт	The Final Act
quest_desc_8	Вернись к главному кристаллу.	Return to the main crystal.
quest_header_9	Поиск помощи	Seeking help
quest_desc_9	Найди других существ на новом уровне.	Find other creatures on the new level.
quest_header_10	Проверка призмы	Checking the prism
quest_desc_10	Проверь как обстоят дела с призмой и теплотой.	Check how things are with the prism and heat.
quest_header_11	Пропажа отшельника	The disappearance of the hermit
quest_desc_11	Проверь всё ли в порядке у Октобосса.	Check if everything is okay with Octoboss.
quest_header_12	Уникальные ракушки	Unique shells
quest_desc_12	Собери ракушки на поверхности.	Collect the shells on the surface.
quest_header_13	Секретное место	Secret place
quest_desc_13	Помоги Финикс растопить лёд.	Help Finix melt the ice.
quest_header_14	Гонка	Race
quest_desc_14	Поучавствуй в гонке с Финикс.	Take part in the race with Finix.
quest_header_15	Коллекционирование	Collecting
quest_desc_15	Помоги собрать приманить рыбок.	Help collect the bait for the fish.
quest_header_16	Ностальгия	Nostalgia
quest_desc_16	Растопи проход к дому родителей Джелики.	Melt the passage to Jelika's parents' house.
quest_header_17	Непослушные дети	Naughty children
quest_desc_17	Найди разбежавшихся детей.	Find the scattered children.
quest_header_18	Исследование тайн	Exploring Mysteries
quest_desc_18	Попади на заброшенный участок вместе со Скайпером.	Enter the abandoned area with Skyper.
quest_header_19	Остатки кристалла	Remains of the crystal
quest_desc_19	Уничтожь остатки большого кристалла на поверхности.	Destroy the remains of the large crystal on the surface.
